Metros,Original Rank,Weighted Rank,Delta Rank
"(""Coeur d'Alene, ID Metro Area"", 'Spokane-Spokane Valley, WA Metro Area')",76,67,-9
"('Baltimore-Columbia-Towson, MD Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",77,66,-11
"('Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area', 'Knoxville, TN Metro Area')",78,76,-2
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'Baltimore-Columbia-Towson, MD Metro Area')",79,73,-6
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Oklahoma City, OK Metro Area')",80,163,83
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Las Vegas-Henderson-Paradise, NV Metro Area')",81,175,94
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",82,84,2
"('Little Rock-North Little Rock-Conway, AR Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",83,75,-8
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Fayetteville-Springdale-Rogers, AR-MO Metro Area')",84,80,-4
"('Las Vegas-Henderson-Paradise, NV Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",85,90,5
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",86,56,-30
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",87,112,25
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Salt Lake City, UT Metro Area')",88,99,11
"('Columbia, SC Metro Area', 'Charlotte-Concord-Gastonia, NC-SC Metro Area')",89,69,-20
"('San Francisco-Oakland-Hayward, CA Metro Area', 'San Jose-Sunnyvale-Santa Clara, CA Metro Area')",90,72,-18
"('Champaign-Urbana, IL Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",91,85,-6
"('Boston-Cambridge-Newton, MA-NH Metro Area', 'Portland-South Portland, ME Metro Area')",92,96,4
"('Portland-South Portland, ME Metro Area', 'Boston-Cambridge-Newton, MA-NH Metro Area')",93,88,-5
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'South Bend-Mishawaka, IN-MI Metro Area')",94,98,4
"('Huntsville, AL Metro Area', 'Birmingham-Hoover, AL Metro Area')",95,89,-6
"('Harrisburg-Carlisle, PA Metro Area', 'Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area')",96,91,-5
"('Sacramento--Roseville--Arden-Arcade, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",97,86,-11
"('Riverside-San Bernardino-Ontario, CA Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",98,87,-11
"('Albuquerque, NM Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",99,94,-5
"('Stockton-Lodi, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",100,92,-8
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Spokane-Spokane Valley, WA Metro Area')",101,173,72
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",102,109,7
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Iowa City, IA Metro Area')",103,101,-2
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Columbia, SC Metro Area')",104,170,66
"('South Bend-Mishawaka, IN-MI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",105,93,-12
"('Huntington-Ashland, WV-KY-OH Metro Area', 'Columbus, OH Metro Area')",106,95,-11
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Omaha-Council Bluffs, NE-IA Metro Area')",107,102,-5
"('Boise City, ID Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",108,100,-8
"('Louisville/Jefferson County, KY-IN Metro Area', 'Indianapolis-Carmel-Anderson, IN Metro Area')",109,103,-6
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Boise City, ID Metro Area')",110,107,-3
"('Cleveland-Elyria, OH Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",111,104,-7
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Albuquerque, NM Metro Area')",112,819,707
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Cincinnati, OH-KY-IN Metro Area')",113,213,100
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Riverside-San Bernardino-Ontario, CA Metro Area')",114,744,630
"('Pensacola-Ferry Pass-Brent, FL Metro Area', 'San Diego-Carlsbad, CA Metro Area')",115,115,0
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",116,110,-6
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area')",117,106,-11
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",118,220,102
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",120,82,-38
"('San Antonio-New Braunfels, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",121,204,83
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Columbus, OH Metro Area')",122,802,680
"('El Paso, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",123,113,-10
"('Cleveland-Elyria, OH Metro Area', 'Akron, OH Metro Area')",124,121,-3
"('Montgomery, AL Metro Area', 'Birmingham-Hoover, AL Metro Area')",125,117,-8
"('Lincoln, NE Metro Area', 'Omaha-Council Bluffs, NE-IA Metro Area')",126,118,-8
"('Albany-Schenectady-Troy, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",127,120,-7
"('Ogden-Clearfield, UT Metro Area', 'Salt Lake City, UT Metro Area')",128,126,-2
"('Kalamazoo-Portage, MI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",129,123,-6
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Albany-Schenectady-Troy, NY Metro Area')",130,146,16
"('Reno, NV Metro Area', 'Las Vegas-Henderson-Paradise, NV Metro Area')",131,122,-9
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Medford, OR Metro Area')",132,148,16
"('Salem, OR Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",133,127,-6
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'Harrisonburg, VA Metro Area')",134,651,517
"('Vallejo-Fairfield, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",135,119,-16
"('Salt Lake City, UT Metro Area', 'Ogden-Clearfield, UT Metro Area')",136,150,14
"('North Port-Sarasota-Bradenton, FL Metro Area', 'Tampa-St. Petersburg-Clearwater, FL Metro Area')",137,143,6
"('Fargo, ND-MN Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",138,116,-22
"('Medford, OR Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",139,128,-11
"('Knoxville, TN Metro Area', 'Johnson City, TN Metro Area')",140,189,49
"('Tucson, AZ Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",141,129,-12
"('Denver-Aurora-Lakewood, CO Metro Area', 'Fort Collins, CO Metro Area')",142,627,485
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'Blacksburg-Christiansburg-Radford, VA Metro Area')",143,654,511
"('Portland-Vancouver-Hillsboro, OR-WA Metro Area', 'Salem, OR Metro Area')",144,151,7
"('Oklahoma City, OK Metro Area', 'Tulsa, OK Metro Area')",145,937,792
"('Detroit-Warren-Dearborn, MI Metro Area', 'Saginaw, MI Metro Area')",146,153,7
"('Birmingham-Hoover, AL Metro Area', 'Huntsville, AL Metro Area')",147,198,51
"('Richmond, VA Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",148,135,-13
"('Savannah, GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",149,125,-24
"('Anchorage, AK Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",150,131,-19
"('Rochester, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",151,130,-21
"('Milwaukee-Waukesha-West Allis, WI Metro Area', 'Oshkosh-Neenah, WI Metro Area')",152,157,5
"('Modesto, CA Metro Area', 'Stockton-Lodi, CA Metro Area')",153,132,-21
"('San Jose-Sunnyvale-Santa Clara, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",154,137,-17
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Anchorage, AK Metro Area')",155,152,-3
"('Denver-Aurora-Lakewood, CO Metro Area', 'Colorado Springs, CO Metro Area')",156,631,475
"('Bridgeport-Stamford-Norwalk, CT Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",157,133,-24
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'Port St. Lucie, FL Metro Area')",158,147,-11
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Bakersfield, CA Metro Area')",159,162,3
"('Shreveport-Bossier City, LA Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",160,124,-36
"('Cape Coral-Fort Myers, FL Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",161,445,284
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'Lancaster, PA Metro Area')",162,164,2
"('Detroit-Warren-Dearborn, MI Metro Area', 'Grand Rapids-Wyoming, MI Metro Area')",163,891,728
"('Las Vegas-Henderson-Paradise, NV Metro Area', 'Reno, NV Metro Area')",164,953,789
"('Grand Rapids-Wyoming, MI Metro Area', 'Detroit-Warren-Dearborn, MI Metro Area')",165,140,-25
"('Fresno, CA Metro Area', 'San Francisco-Oakland-Hayward, CA Metro Area')",166,139,-27
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Hartford-West Hartford-East Hartford, CT Metro Area')",167,160,-7
"('Iowa City, IA Metro Area', 'Cedar Rapids, IA Metro Area')",168,166,-2
"('Lakeland-Winter Haven, FL Metro Area', 'Orlando-Kissimmee-Sanford, FL Metro Area')",169,138,-31
"('Detroit-Warren-Dearborn, MI Metro Area', 'Kalamazoo-Portage, MI Metro Area')",170,169,-1
"('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area', 'Harrisburg-Carlisle, PA Metro Area')",171,167,-4
"('Missoula, MT Metro Area', ""Coeur d'Alene, ID Metro Area"")",172,155,-17
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Fresno, CA Metro Area')",173,168,-5
"('Knoxville, TN Metro Area', 'Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area')",174,134,-40
"('Baltimore-Columbia-Towson, MD Metro Area', 'York-Hanover, PA Metro Area')",175,165,-10
"('Akron, OH Metro Area', 'Cleveland-Elyria, OH Metro Area')",176,144,-32
"('Oklahoma City, OK Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",177,142,-35
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'Gainesville, FL Metro Area')",178,180,2
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Tucson, AZ Metro Area')",179,639,460
"('New Orleans-Metairie, LA Metro Area', 'Gulfport-Biloxi-Pascagoula, MS Metro Area')",180,182,2
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Greensboro-High Point, NC Metro Area')",181,466,285
"('Fayetteville-Springdale-Rogers, AR-MO Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",182,145,-37
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'San Diego-Carlsbad, CA Metro Area')",183,177,-6
"('Dayton, OH Metro Area', 'Cincinnati, OH-KY-IN Metro Area')",184,154,-30
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Chattanooga, TN-GA Metro Area')",185,183,-2
"('Denver-Aurora-Lakewood, CO Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",186,843,657
"('Fayetteville-Springdale-Rogers, AR-MO Metro Area', 'Little Rock-North Little Rock-Conway, AR Metro Area')",187,203,16
"('Hartford-West Hartford-East Hartford, CT Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",188,174,-14
"('Gulfport-Biloxi-Pascagoula, MS Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",189,188,-1
"('Indianapolis-Carmel-Anderson, IN Metro Area', 'Louisville/Jefferson County, KY-IN Metro Area')",190,196,6
"('Birmingham-Hoover, AL Metro Area', 'Daphne-Fairhope-Foley, AL Metro Area')",191,454,263
"('Johnson City, TN Metro Area', 'Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area')",192,136,-56
"('Iowa City, IA Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",193,184,-9
"('York-Hanover, PA Metro Area', 'Baltimore-Columbia-Towson, MD Metro Area')",194,141,-53
"('Chattanooga, TN-GA Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",195,181,-14
"('Madison, WI Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",196,105,-91
"('Greenville-Anderson-Mauldin, SC Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",197,185,-12
"('Oshkosh-Neenah, WI Metro Area', 'Milwaukee-Waukesha-West Allis, WI Metro Area')",198,406,208
"('Cincinnati, OH-KY-IN Metro Area', 'Lexington-Fayette, KY Metro Area')",199,197,-2
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Pensacola-Ferry Pass-Brent, FL Metro Area')",200,822,622
"('Miami-Fort Lauderdale-West Palm Beach, FL Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",201,217,16
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Tampa-St. Petersburg-Clearwater, FL Metro Area')",202,195,-7
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'North Port-Sarasota-Bradenton, FL Metro Area')",203,192,-11
"('Baton Rouge, LA Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",204,191,-13
"('Syracuse, NY Metro Area', 'New York-Newark-Jersey City, NY-NJ-PA Metro Area')",205,194,-11
"('Los Angeles-Long Beach-Anaheim, CA Metro Area', 'Urban Honolulu, HI Metro Area')",206,202,-4
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",207,111,-96
"('Durham-Chapel Hill, NC Metro Area', 'Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area')",208,176,-32
"('Omaha-Council Bluffs, NE-IA Metro Area', 'Chicago-Naperville-Elgin, IL-IN-WI Metro Area')",209,114,-95
"('New Orleans-Metairie, LA Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",210,201,-9
"('Sioux Falls, SD Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",211,199,-12
"('Kansas City, MO-KS Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",212,205,-7
"('Urban Honolulu, HI Metro Area', 'Los Angeles-Long Beach-Anaheim, CA Metro Area')",214,207,-7
"('Chicago-Naperville-Elgin, IL-IN-WI Metro Area', 'Memphis, TN-MS-AR Metro Area')",215,193,-22
"('Tallahassee, FL Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",217,208,-9
"('Des Moines-West Des Moines, IA Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",218,158,-60
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'Austin-Round Rock, TX Metro Area')",219,210,-9
"('Columbus, OH Metro Area', 'Dayton, OH Metro Area')",220,875,655
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Seattle-Tacoma-Bellevue, WA Metro Area')",221,787,566
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Phoenix-Mesa-Scottsdale, AZ Metro Area')",222,800,578
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Missoula, MT Metro Area')",223,97,-126
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Denver-Aurora-Lakewood, CO Metro Area')",224,221,-3
"('Charlotte-Concord-Gastonia, NC-SC Metro Area', 'Greenville-Anderson-Mauldin, SC Metro Area')",225,206,-19
"('Cincinnati, OH-KY-IN Metro Area', 'Dayton, OH Metro Area')",226,190,-36
"('Austin-Round Rock, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",227,813,586
"('Phoenix-Mesa-Scottsdale, AZ Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",228,785,557
"('New York-Newark-Jersey City, NY-NJ-PA Metro Area', 'Cincinnati, OH-KY-IN Metro Area')",229,74,-155
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'Austin-Round Rock, TX Metro Area')",230,216,-14
"('Atlanta-Sandy Springs-Roswell, GA Metro Area', 'Miami-Fort Lauderdale-West Palm Beach, FL Metro Area')",231,214,-17
"('Raleigh, NC Metro Area', 'Charlotte-Concord-Gastonia, NC-SC Metro Area')",232,832,600
"('San Francisco-Oakland-Hayward, CA Metro Area', 'Sacramento--Roseville--Arden-Arcade, CA Metro Area')",233,172,-61
"('Minneapolis-St. Paul-Bloomington, MN-WI Metro Area', 'Sioux Falls, SD Metro Area')",234,226,-8
"('Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area', 'Houston-The Woodlands-Sugar Land, TX Metro Area')",235,212,-23
"('Killeen-Temple, TX Metro Area', 'Dallas-Fort Worth-Arlington, TX Metro Area')",236,222,-14
"('Dallas-Fort Worth-Arlington, TX Metro Area', 'San Antonio-New Braunfels, TX Metro Area')",237,814,577
"('Houston-The Woodlands-Sugar Land, TX Metro Area', 'El Paso, TX Metro Area')",238,200,-38
"('Greensboro-High Point, NC Metro Area', 'Charlotte-Concord-Gastonia, NC-SC Metro Area')",239,525,286
"('Seattle-Tacoma-Bellevue, WA Metro Area', 'Portland-Vancouver-Hillsboro, OR-WA Metro Area')",240,218,-22
"('Detroit-Warren-Dearborn, MI Metro Area', 'Atlanta-Sandy Springs-Roswell, GA Metro Area')",241,779,538
"('Green Bay, WI Metro Area', 'Minneapolis-St. Paul-Bloomington, MN-WI Metro Area')",242,223,-19
