Metro,Degree,Degree Rank,Eigenvector,Eigenvector Rank,Closeness,Closeness Rank,Betweenness,Betweenness Rank,Harmonic,Harmonic Rank
"Baltimore-Columbia-Towson, MD Metro Area",1.385012919896641,28,0.09099072211912879,22,874.4061556108775,13,0.015343214041852432,33,498185.9120865521,16
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1.3772609819121449,29,0.08148464983418402,24,737.3925318523355,52,0.04093532018583229,20,407648.81175535073,43
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1.3746770025839794,30,0.06114441168256991,29,670.7797285590141,79,0.047435433988030684,18,450481.78968113445,30
"Austin-Round Rock, TX Metro Area",1.3540051679586564,31,0.0992635796986233,19,740.6577977068299,50,0.007745243737531965,53,473732.1264464566,22
"Colorado Springs, CO Metro Area",1.3126614987080103,32,0.03564430413222388,45,655.3873619550073,90,0.0026643102917352827,90,347680.1812768616,83
"Cincinnati, OH-KY-IN Metro Area",1.310077519379845,33,0.02614978225932038,64,663.8952429762447,84,0.01890455342678502,31,283150.26296383113,158
"Indianapolis-Carmel-Anderson, IN Metro Area",1.3074935400516796,34,0.029018566370703415,55,748.8850059103729,46,0.050253711959941626,16,389545.6034294228,55
"Columbus, OH Metro Area",1.2971576227390182,35,0.032953550015426075,48,605.8220981079788,127,0.02553855216826659,26,316977.5219589697,112
"Urban Honolulu, HI Metro Area",1.289405684754522,36,0.04292956012339858,37,656.5670090781239,88,0.00516795865633075,70,291615.3733196054,148
"Columbia, SC Metro Area",1.2609819121447028,37,0.024980307327514426,69,554.6735148791956,175,0.011855511373525592,38,314383.71059556754,117
"Tucson, AZ Metro Area",1.2377260981912146,38,0.05368844482053839,30,789.6370349668559,34,0.005067544951868364,82,433378.2193058651,34
"Cleveland-Elyria, OH Metro Area",1.2325581395348837,39,0.023921907757768396,75,573.6484500749658,163,0.017284545661458543,32,297776.09714707936,142
"Oklahoma City, OK Metro Area",1.2325581395348837,40,0.03160225988097085,54,639.2963436590015,106,0.010282363336948225,46,385168.4954653055,60
"Jacksonville, FL Metro Area",1.2299741602067185,41,0.043226376902437476,36,650.5471615081821,95,1.3388493928318003e-05,152,391358.454421073,53
"Charleston-North Charleston, SC Metro Area",1.2196382428940569,42,0.022171908614338,78,584.78058061452,149,6.6942469641590015e-06,155,289715.55061555165,149
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",1.20671834625323,43,0.11511510405522969,16,819.0428903771709,25,0.010302446077840704,44,460837.2996420281,28
"Memphis, TN-MS-AR Metro Area",1.2041343669250646,44,0.017820265087390555,97,669.0061667636724,81,0.0032600982715454336,87,250577.92694185904,190
"Milwaukee-Waukesha-West Allis, WI Metro Area",1.1886304909560723,45,0.02248923557459014,77,755.6094388007111,43,0.02288093612349547,29,396046.20489237434,48
"Louisville/Jefferson County, KY-IN Metro Area",1.1808785529715762,46,0.013332123485524195,135,508.1496525829671,213,0.008086650332704073,51,215969.74114865335,232
"Anchorage, AK Metro Area",1.1757105943152455,47,0.010660619040971316,156,762.6184385335796,41,0.005154570162402432,75,202999.29651918137,250
"Pensacola-Ferry Pass-Brent, FL Metro Area",1.1627906976744187,48,0.019292457309115874,85,553.0589715063314,178,0.006279203652381144,60,246722.36240906664,193
"Richmond, VA Metro Area",1.1369509043927648,49,0.04482484577395879,35,798.2392867161226,31,0.0025906735751295338,92,442439.9494658511,31
"Omaha-Council Bluffs, NE-IA Metro Area",1.1162790697674418,50,0.014611299485883031,120,475.33572946722404,238,0.011078978725683147,40,179453.46103798898,291
"Raleigh, NC Metro Area",1.1085271317829457,51,0.03741970263700437,42,570.3616339689027,165,0.02111365492495749,30,375876.8966742271,65
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1.1059431524547805,52,0.11443790499185598,17,864.8399114755374,14,0.007818880454137714,52,482188.72577531094,20
"North Port-Sarasota-Bradenton, FL Metro Area",1.1059431524547805,53,0.026553731797157965,60,619.1497370887969,122,0.005134487421509954,77,327866.88615861844,100
"Salt Lake City, UT Metro Area",1.0852713178294575,54,0.034642656263385925,47,593.348863532731,138,0.015155775126855979,35,280059.2802235574,160
"Tulsa, OK Metro Area",1.0775193798449614,55,0.018679044731304786,92,588.4609088867751,145,0.002577285081201216,102,288587.9036560722,153
"Killeen-Temple, TX Metro Area",1.062015503875969,56,0.024787532155367897,71,632.9316685920339,110,0.0003681835830287451,120,293876.3877747519,146
"Albuquerque, NM Metro Area",1.0594315245478036,57,0.01922407429405749,87,589.9000197361245,142,0.0105969929442637,41,223368.38985311284,223
"Cape Coral-Fort Myers, FL Metro Area",1.0568475452196382,58,0.027947316739797935,58,644.2298406091949,101,0.002577285081201216,103,363785.7853716849,75
"New Orleans-Metairie, LA Metro Area",1.0516795865633075,59,0.025689239134626653,66,620.5788701890687,121,0.023175482989918464,28,303264.0006494545,135
"Jacksonville, NC Metro Area",1.0439276485788114,60,0.018345848725070227,95,577.9484378690825,155,1.3388493928318003e-05,148,253606.23648376437,189
"Providence-Warwick, RI-MA Metro Area",1.0439276485788114,61,0.04260538320817446,38,846.6243725505469,18,0.0,319,455108.5068204354,29
"Dayton, OH Metro Area",1.0413436692506461,62,0.01637047437897258,108,601.6789380327889,129,0.007731855243603647,54,245190.64498627646,196
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1.0361757105943152,63,0.02545657030701952,67,703.4270815908003,68,0.0,363,394509.3351863976,49
"Birmingham-Hoover, AL Metro Area",1.0361757105943152,64,0.01339425641284269,134,623.5938371959917,119,0.04443641134808745,19,309943.0395826895,123
"Rochester, NY Metro Area",1.03359173126615,65,0.02458968873458822,73,827.9419267070206,22,0.002577285081201216,104,402028.69614352,44
"Fayetteville, NC Metro Area",1.03359173126615,66,0.015087328835521168,118,477.9505876019454,233,1.3388493928318003e-05,149,184289.18951448696,284
"Grand Rapids-Wyoming, MI Metro Area",1.028423772609819,67,0.01379763828999173,126,595.4577559661853,134,0.0051880413972232265,64,289098.43810564984,151
"Greenville-Anderson-Mauldin, SC Metro Area",1.0258397932816539,68,0.015964465018962436,111,521.1930145382097,205,0.0051880413972232265,63,287868.0844260492,154
"Knoxville, TN Metro Area",1.020671834625323,69,0.01199258984490661,145,536.3823732887288,195,0.010295751830876545,45,237309.82654314948,207
"Augusta-Richmond County, GA-SC Metro Area",1.0025839793281655,70,0.015472840931647946,113,688.1225629043298,71,0.0,329,328372.32471314364,99
"Columbus, GA-AL Metro Area",1.0025839793281655,71,0.015301109347243557,115,671.0915564039587,78,2.0082740892477003e-05,146,308808.3821075717,124
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.9922480620155039,72,0.019687318247064618,83,679.3470986926606,75,0.0,316,308685.4572117845,125
"Clarksville, TN-KY Metro Area",0.9870801033591732,73,0.01170983219745768,147,479.65744804323657,231,4.685972874911301e-05,135,194212.1700522343,266
"Lakeland-Winter Haven, FL Metro Area",0.9870801033591732,74,0.020432430111409782,82,751.3469003545468,44,0.002583979328165375,96,380928.2239605457,62
"Durham-Chapel Hill, NC Metro Area",0.9741602067183462,75,0.023985750784236072,74,586.0388871180778,146,0.0022961267087065374,117,326924.16359082784,103
"Gulfport-Biloxi-Pascagoula, MS Metro Area",0.9715762273901809,76,0.009568483763358846,166,417.37056294483756,290,0.005107710433653318,80,188914.36618214264,276
"El Paso, TX Metro Area",0.9664082687338502,77,0.02106633588880175,80,594.8499028530123,135,0.0051746529032949086,66,203302.97266785515,249
"Hartford-West Hartford-East Hartford, CT Metro Area",0.9534883720930233,78,0.026380402034065796,62,690.4966981095656,70,0.005094321939725,81,392673.85356041737,51
"Savannah, GA Metro Area",0.9457364341085271,79,0.013498246928986971,131,645.9632659928228,99,0.002583979328165375,99,316097.2517475998,113
"Albany-Schenectady-Troy, NY Metro Area",0.9405684754521965,80,0.03228252825340599,51,826.0889601889077,23,0.00516795865633075,72,467207.1957237976,24
"Lexington-Fayette, KY Metro Area",0.937984496124031,81,0.01048675322905963,159,466.4679366023792,248,0.0026375333038786467,91,210534.55691809359,236
"Provo-Orem, UT Metro Area",0.9328165374677003,82,0.028229558972664628,57,548.1244174607506,182,7.363671660574902e-05,127,258373.28812425156,185
"Syracuse, NY Metro Area",0.9069767441860466,83,0.019059433093917614,89,734.8704316519645,54,0.0022091014981724705,118,386787.00437184924,57
"Madison, WI Metro Area",0.9043927648578812,84,0.015306025584143679,114,648.8905680210264,97,0.0027446412553051905,89,334722.575422778,93
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",0.9018087855297158,85,0.019266841473644443,86,717.176566888312,64,0.0,297,397604.0315460071,47
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.8914728682170543,86,0.009682333473371971,165,491.6802035562927,220,2.0082740892477003e-05,145,187960.67236388763,277
"Boise City, ID Metro Area",0.8837209302325582,87,0.021084422768081944,79,497.5314340612386,219,0.010228809361234954,47,227696.56331912824,219
"Ann Arbor, MI Metro Area",0.8811369509043928,88,0.01908588889734308,88,714.0130261771984,66,0.0,284,316066.11197343434,114
"Little Rock-North Little Rock-Conway, AR Metro Area",0.8811369509043928,89,0.009275106675892361,168,530.7765118185612,198,0.01046310800498052,42,155778.96411487708,323
"San Juan-Carolina-Caguas, PR Metro Area",0.8785529715762275,90,0.013423867542218148,132,791.0451769437093,33,0.02828988767053594,25,295223.8409979005,144
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.875968992248062,91,0.03174905089183615,53,824.0036706465191,24,0.0,293,461003.31178483355,27
"Spokane-Spokane Valley, WA Metro Area",0.875968992248062,92,0.017115321326645797,102,653.4066130034115,94,0.01528966006613916,34,335857.3198211339,92
"Winston-Salem, NC Metro Area",0.875968992248062,93,0.010800299249754992,155,564.4753542656167,169,0.0,195,313824.16071727534,118
"Boulder, CO Metro Area",0.8656330749354005,94,0.024808205944139274,70,672.2625525342478,77,0.0,291,356202.58654182666,78
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.8656330749354005,95,0.01357493017921133,129,408.4739284189965,296,2.6776987856636006e-05,141,307011.63348865666,129
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.8630490956072352,96,0.07400332361750533,26,857.0696121541566,16,0.0,315,475680.81016775535,21
"Fort Collins, CO Metro Area",0.8604651162790699,97,0.01702000199638886,104,614.1777086240996,124,0.002583979328165375,93,332792.4207792384,95
"New Haven-Milford, CT Metro Area",0.8501291989664083,98,0.020708451427211467,81,720.8571639703786,63,1.3388493928318003e-05,153,378049.0897448843,63
"Lansing-East Lansing, MI Metro Area",0.8501291989664083,99,0.011347307354150467,151,628.4745183670369,114,0.0,371,305035.24226812396,132
"Greensboro-High Point, NC Metro Area",0.8501291989664083,100,0.014230081123352757,124,558.5890567082608,170,0.002858443453695894,88,300197.97490201064,138
"Baton Rouge, LA Metro Area",0.8475452196382429,101,0.012496650833581724,141,577.8863068189603,156,0.0023095152026348553,116,269385.85495962884,173
"Ogden-Clearfield, UT Metro Area",0.8423772609819122,102,0.018101431209943005,96,544.0788810152858,184,0.00516795865633075,68,250414.2317448649,191
"Portland-South Portland, ME Metro Area",0.8346253229974161,103,0.013240391492225966,139,715.7355688950051,65,0.010322528818733181,43,345214.62795444514,85
"Wichita, KS Metro Area",0.8320413436692506,104,0.00923303477284526,169,464.840255130037,250,0.0,267,191575.55549009252,269
"Asheville, NC Metro Area",0.8294573643410853,105,0.01171678212383201,146,428.8509036149911,278,0.0,285,228717.3519810741,213
"Des Moines-West Des Moines, IA Metro Area",0.82687338501292,106,0.01013134131604199,162,424.58526316473893,284,0.003306958000294547,86,180903.55019271345,288
"Harrisburg-Carlisle, PA Metro Area",0.82687338501292,107,0.0160525992259456,109,663.0947915003014,86,0.007731855243603647,55,355028.83041391923,80
"Bridgeport-Stamford-Norwalk, CT Metro Area",0.8242894056847545,108,0.04003021313396828,40,857.6308172556191,15,0.0025705908342370564,106,490554.298880545,17
"Reno, NV Metro Area",0.8087855297157623,109,0.026424869933742233,61,594.5931584749302,136,0.00516795865633075,67,307231.35101475526,128
"Toledo, OH Metro Area",0.8036175710594315,110,0.00602315832057524,223,480.6240006449215,229,0.00015396768017565703,123,219703.71985012575,228
"Akron, OH Metro Area",0.8010335917312662,111,0.00973518979721027,164,528.2835422989631,201,0.005288455101685611,61,274213.17415098875,167
"Bakersfield, CA Metro Area",0.7932816537467701,112,0.09225024135349351,20,800.509290571568,28,0.0025572023403087384,109,485652.8593852171,19
"Chattanooga, TN-GA Metro Area",0.7855297157622739,113,0.008649206675957252,179,470.57435877579593,243,0.005141181668474113,76,266194.63132467703,177
"Port St. Lucie, FL Metro Area",0.7855297157622739,114,0.023112797396166233,76,744.1781360392027,48,0.0025505080933445794,112,412879.6821654867,39
"Huntsville, AL Metro Area",0.7829457364341086,115,0.008888555811488561,176,420.78481900798266,287,0.007731855243603647,56,203921.03794410077,248
"Springfield, MO Metro Area",0.7829457364341086,116,0.00818564072182386,184,534.159491095241,196,4.685972874911301e-05,136,292313.49579223833,147
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",0.7829457364341086,117,0.012207462936887903,143,479.2946295428146,232,0.009954345235704435,49,239476.62213832565,204
"Youngstown-Warren-Boardman, OH-PA Metro Area",0.7751937984496124,118,0.00711601109225716,199,543.0983856195018,185,5.355397571327201e-05,133,209182.7307766834,239
"Salinas, CA Metro Area",0.7700258397932817,119,0.02575462375418862,65,579.9901060270714,152,0.0,278,259850.727273915,182
"Tallahassee, FL Metro Area",0.7674418604651163,120,0.01844602296867351,94,648.915192088734,96,0.0016601732471114325,119,385897.8627333197,58
"Naples-Immokalee-Marco Island, FL Metro Area",0.7622739018087855,121,0.013295124269390154,136,555.9631109075984,174,0.0,378,303550.6559734533,134
"Gainesville, FL Metro Area",0.7545219638242895,122,0.016722588511475015,106,604.567998000522,128,0.0025638965872728974,108,375029.508184875,67
"Worcester, MA-CT Metro Area",0.751937984496124,123,0.02470674165257248,72,840.4970281607848,20,6.694246964159002e-05,128,442138.1690715185,32
"Lawton, OK Metro Area",0.7493540051679587,124,0.0077203683449340865,192,476.82510928544315,237,0.0,308,200767.89472391453,256
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",0.7467700258397933,125,0.015037169114097996,119,655.0659235169398,91,0.0,174,375204.40326010576,66
"Springfield, MA Metro Area",0.7441860465116279,126,0.018934363280382727,90,757.9993092785588,42,0.0,289,393420.63729249494,50
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",0.7338501291989664,127,0.010404097128297415,160,425.12740893827555,282,0.0,304,173436.0529702451,300
"Watertown-Fort Drum, NY Metro Area",0.7286821705426357,128,0.0066368143594233205,206,359.91549013803575,327,0.0,358,171158.48570299955,303
"Eugene, OR Metro Area",0.7209302325581396,129,0.01720094767857903,101,626.3464038148534,115,0.0,349,302643.2164859106,136
"Bremerton-Silverdale, WA Metro Area",0.7157622739018088,130,0.017519636950878586,99,685.4469205205467,72,0.0,346,328794.8213126088,98
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.7157622739018088,131,0.006108789438015591,218,528.8120432334296,200,0.0,187,278009.1138438896,164
"Fresno, CA Metro Area",0.7105943152454781,132,0.04511435106475955,34,656.7322566288483,87,0.0051746529032949086,65,390442.5371541395,54
"Charlottesville, VA Metro Area",0.7105943152454781,133,0.01340362473533384,133,577.987857492145,154,0.0,165,344279.1685639103,87
"Vallejo-Fairfield, CA Metro Area",0.7054263565891473,134,0.03258522412372884,50,774.663915833492,37,0.002583979328165375,95,410244.83016941807,40
"Montgomery, AL Metro Area",0.702842377260982,135,0.007158825427712969,198,506.0453315502333,214,0.002583979328165375,94,218530.95298572505,230
"Corpus Christi, TX Metro Area",0.702842377260982,136,0.016652779195564228,107,611.4921268670332,126,0.0,300,306521.88505458593,130
"Stockton-Lodi, CA Metro Area",0.7002583979328165,137,0.04561811553721506,33,729.3970130327856,57,0.005127793174545795,78,427755.4868854864,36
"Santa Maria-Santa Barbara, CA Metro Area",0.7002583979328165,138,0.05074972298652575,31,735.8530809391239,53,0.0,383,400469.09599103633,46
"Peoria, IL Metro Area",0.6950904392764858,139,0.006043484504385731,222,618.8544130109278,123,0.0,233,271106.3261015027,169
"Lafayette-West Lafayette, IN Metro Area",0.6950904392764858,140,0.008034081334239074,187,515.5157203875923,208,0.0,160,307396.1949855718,127
"Panama City, FL Metro Area",0.6950904392764858,141,0.00483689983616644,241,339.19115996831806,341,0.0,317,152623.4765620318,328
"South Bend-Mishawaka, IN-MI Metro Area",0.689922480620155,142,0.00708922021618656,200,598.6466433386232,132,0.010155172644629205,48,256980.3325112617,187
"Fairbanks, AK Metro Area",0.6873385012919897,143,0.005628066735200511,228,474.89589154924346,239,0.0,301,144517.94921476382,337
"Jackson, MS Metro Area",0.6873385012919897,144,0.006507709100037848,209,416.47386853475587,292,0.00013388493928318004,124,154312.07033248554,327
"York-Hanover, PA Metro Area",0.6847545219638244,145,0.009004433075909524,172,564.8253223123515,168,0.005161264409366591,73,317450.234432496,111
"Ocala, FL Metro Area",0.6821705426356589,146,0.011698081892208756,148,635.7494983939326,109,6.0248222677431016e-05,129,283543.51454242127,157
"Wichita Falls, TX Metro Area",0.6821705426356589,147,0.00900405828225997,173,520.5055815627873,206,0.0,268,258138.12128601794,186
"Champaign-Urbana, IL Metro Area",0.6770025839793282,148,0.01579981838737572,112,771.7928931137122,38,0.00516795865633075,71,409025.1145007674,42
"Shreveport-Bossier City, LA Metro Area",0.6744186046511628,149,0.006295261579876658,214,557.8726115792672,172,0.0025638965872728974,107,205552.20612469016,243
"Lincoln, NE Metro Area",0.6718346253229974,150,0.006058182349253505,219,423.43121117675094,285,0.002583979328165375,97,162958.50266099581,316
"Lancaster, PA Metro Area",0.6692506459948321,151,0.011121277491343519,153,666.4872297350927,83,0.0025572023403087384,111,347336.3133707963,84
"Fort Wayne, IN Metro Area",0.6640826873385013,152,0.0037935974552555946,267,538.5715336859512,190,0.0,209,161303.9321688572,317
"Mobile, AL Metro Area",0.6589147286821706,153,0.003949701476894105,265,402.56994866981563,299,3.347123482079501e-05,140,111470.9925194901,366
"Columbia, MO Metro Area",0.6537467700258398,154,0.006442221207070731,211,570.9425472869332,164,5.355397571327201e-05,131,278072.9973116291,163
"Sierra Vista-Douglas, AZ Metro Area",0.6434108527131783,155,0.00977736214254694,163,536.5651625465821,193,0.0,384,310286.75252291793,121
"Greeley, CO Metro Area",0.6434108527131783,156,0.015178583112372647,117,629.6543930745792,112,0.0,197,345126.50629504863,86
"Lynchburg, VA Metro Area",0.6434108527131783,157,0.006524626890516835,208,440.331429116366,269,0.0,311,205618.85376487582,242
"Erie, PA Metro Area",0.6356589147286822,158,0.004418095901744865,258,433.49418063783327,275,0.0,364,231688.64532112243,209
"Flint, MI Metro Area",0.6330749354005168,159,0.005917599732145694,224,674.6348487977508,76,0.0,365,282308.98797262384,159
"Santa Rosa, CA Metro Area",0.6330749354005168,160,0.028664218802650784,56,739.4690064970354,51,0.0,213,385827.0108945707,59
"Athens-Clarke County, GA Metro Area",0.6304909560723514,161,0.01450819338050611,121,725.6279209392656,59,0.0,286,415936.34909576975,37
"Norwich-New London, CT Metro Area",0.6304909560723514,162,0.010554300216475142,158,541.2833028849657,189,0.0,379,264602.9135701937,178
"Olympia-Tumwater, WA Metro Area",0.627906976744186,163,0.014054228262383594,125,684.2538140237998,74,0.0,230,362561.5497008393,76
"Manchester-Nashua, NH Metro Area",0.627906976744186,164,0.013511189319592116,130,798.5793544278741,30,0.0,274,409649.34851910395,41
"Wilmington, NC Metro Area",0.627906976744186,165,0.007994014444637104,188,398.8194597775287,303,4.685972874911301e-05,134,228697.1297285214,214
"Huntington-Ashland, WV-KY-OH Metro Area",0.6253229974160207,166,0.0029323683619414155,292,307.532269594327,361,0.005107710433653318,79,96472.06926871487,375
"Kalamazoo-Portage, MI Metro Area",0.6253229974160207,167,0.006701998625896782,204,483.20769502460627,227,0.0052349011259723395,62,237472.0066941216,206
"Trenton, NJ Metro Area",0.6175710594315246,168,0.031961136515977664,52,888.4133379389435,11,0.0,261,468792.8925834665,23
"College Station-Bryan, TX Metro Area",0.6149870801033592,169,0.027161350598807844,59,663.8937352583141,85,0.0,299,401655.02718775574,45
"Lake Havasu City-Kingman, AZ Metro Area",0.6149870801033592,170,0.02545103468232414,68,623.6528122164871,118,0.0,351,285954.70073087513,155
"State College, PA Metro Area",0.6046511627906977,171,0.011604454188249218,150,530.8468323574375,197,0.0,260,325130.08088535734,104
"Manhattan, KS Metro Area",0.6046511627906977,172,0.003255145654050062,285,395.4616016986797,306,0.0,352,190884.51476672446,271
"McAllen-Edinburg-Mission, TX Metro Area",0.5968992248062016,173,0.00893396262519444,174,624.9202292582357,117,0.0,312,266829.242996571,176
"Lubbock, TX Metro Area",0.5968992248062016,174,0.018628572731789937,93,641.4466326306974,104,0.0,310,381269.8666741105,61
"Elizabethtown-Fort Knox, KY Metro Area",0.5968992248062016,175,0.0050654942747737014,238,402.11244784904756,300,0.0,205,174893.87751903958,297
"Tuscaloosa, AL Metro Area",0.5917312661498708,176,0.005158114114989622,236,512.0455742936109,212,0.0,240,242157.58309648314,198
"Hickory-Lenoir-Morganton, NC Metro Area",0.5917312661498708,177,0.004722955758655853,246,553.5277253432107,176,0.0,245,288816.29185559094,152
"Morgantown, WV Metro Area",0.5917312661498708,178,0.006250808130176422,215,426.08903595508815,281,2.6776987856636006e-05,144,205180.06566218653,245
"Burlington-South Burlington, VT Metro Area",0.5917312661498708,179,0.006202288513385939,216,448.48595388944693,264,0.0,323,207705.61485190399,240
"Prescott, AZ Metro Area",0.5917312661498708,180,0.017741353875462298,98,654.2327693628276,92,0.0,318,353353.6279887676,81
"Beaumont-Port Arthur, TX Metro Area",0.5865633074935401,181,0.012040236652380538,144,669.1676559795536,80,0.0,295,355889.4048492096,79
"Rockford, IL Metro Area",0.5839793281653747,182,0.007639123882005369,194,745.9035721783389,47,0.0,382,342480.30357720674,88
"Canton-Massillon, OH Metro Area",0.5839793281653747,183,0.004507216615710575,256,455.9019888323508,259,0.0,359,214049.15003313497,233
"New Bern, NC Metro Area",0.5839793281653747,184,0.008102231304760702,186,406.9848805631962,298,0.0,227,156741.2721263349,321
"Yuma, AZ Metro Area",0.5839793281653747,185,0.012480047958949698,142,553.1602378043158,177,0.0,255,268932.4852218284,174
"Reading, PA Metro Area",0.5813953488372093,186,0.01324056262008448,138,732.0672442141052,55,0.0,277,377294.52691182547,64
"Salisbury, MD-DE Metro Area",0.5813953488372093,187,0.017096106249920216,103,636.4312003363693,108,0.0,172,338441.8707366409,90
"Roanoke, VA Metro Area",0.578811369509044,188,0.006440108735910224,212,438.63210743993403,270,6.6942469641590015e-06,157,205349.52197453097,244
"Iowa City, IA Metro Area",0.578811369509044,189,0.0054748161241119885,232,518.0769040584114,207,0.0074640853650372865,59,278924.081692132,161
"Salem, OR Metro Area",0.5736434108527132,190,0.013590470890753284,128,668.2840363540574,82,0.005161264409366591,74,333031.2756077351,94
"Duluth, MN-WI Metro Area",0.5710594315245479,191,0.004189139080031859,262,636.5547095341834,107,0.0,190,304279.6521487641,133
"Blacksburg-Christiansburg-Radford, VA Metro Area",0.5658914728682171,192,0.014360908332857317,122,629.0101821848584,113,0.002577285081201216,105,374344.0341220068,69
"Kingsport-Bristol-Bristol, TN-VA Metro Area",0.5633074935400517,193,0.0036563346352604404,273,296.4888657195791,368,0.0,180,123063.01968114094,354
